genes	HGMD_inheritance	OMIM_inheritance	GeneCC_inheritance
A2M	AD		
A2ML1	AD	AD	AD
A4GALT	AR		
AAAS	AR	AR	AR
AACS	AR		
AAGAB	AD	AD	AD
AARS1	ADAR	AD;AR	AD;AR
AARS2	AR	AR	AD;AR
AASS	AR	AR	AR
ABAT	AR	AR	AR
ABCA1	AR	AD;AR	AD;AR
ABCA12	AR	AR	AR
ABCA3	AR	AR	AR
ABCA4	ADAR	AD;AR	AD;AR
ABCA7	AD	AD	
ABCB11	AR	AR	AR
ABCB4	AR	AR;AR,AD	AD;AR;sD
ABCB6	AD	AD	AD
ABCB7	XLR	XLR	XL;XLR
ABCC12	AR		
ABCC2	AR	AR	AR
ABCC6	ADAR	AD;AR	AD;AR
ABCC8	ADAR	AD;AR,AD	AD;AR;sD
ABCC9	AD	AD;AR	AD
ABCD1	XLR	XLR	AD;XL
ABCD3	AR	AR	AR
ABCG2	AD	?AD	
ABCG5	AR	AR	AR
ABCG8	AR	AR	AR
ABHD12	AR	AR	AR
ABHD5	AR	AR	AR
ABI2	AR		
ABO	AD		
ACAD8	AR	AR	AR
ACAD9	AR	AR	AR
ACADL	AR		AR
ACADM	AR	AR	AR
ACADS	AR	AR	AR
ACADSB	AR	AR	AR
ACADVL	AR	AR	AR
ACAN	AD	AD;AR	AD;AR
ACAT1	AR	AR	AR
ACE	AR	AR	AR
ACO2	AR	AR;AR,AD	AR
ACOX1	AR	AD;AR	AD;AR
ACP5	AR	AR	AR
ACSF3	AR		AD;AR
ACTA1	ADAR	AD;AR	AD;AR;sD
ACTA2	AD	AD	AD
ACTB	AD	AD	AD
ACTC1	AD	AD	AD
ACTG1	AD	AD	AD
ACTG2	AD	AD	AD
ACTN1	AD	AD	AD
ACTN2	AD	AD	AD
ACTN4	AD	AD	AD
ACVR1	AD	AD	AD
ACVRL1	AD	AD	AD
ACY1	AR	AR	AR
ADA	AR	AR,Somatic mosaicism	AR
ADA2	AR	AR	AD;AR
ADAM10	AD	AD	AD
ADAM17	AR	AR	AR
ADAM9	AR	AR	AD;AR
ADAMTS10	AR	AR	AD;AR
ADAMTS13	AR	AR	AR
ADAMTS17	AR	AR	AR
ADAMTS18	AR	AR	AR
ADAMTS2	AR	AR	AR
ADAMTSL2	AR	AR	AD;AR
ADAMTSL4	AR	AR	AD;AR
ADAR	ADAR	AD;AR	AD;AR
ADAT3	AR	AR	AR
ADCY1	AR	AR	AR
ADCY5	AD	AD;AR	AD
ADGRA3	AR		
ADGRG1	AR	AR	AR
ADGRV1	AR	AD;AR,Digenic dominant	AD;AR
ADIPOQ	AD		
ADIPOR1	AD		AD
ADK	AR	AR	AR
ADNP	AD	AD	AD
ADRA2B	AD		AD
ADSL	AR	AR	AR
AFF2	XLR	XLR	XL;XLR
AFF3	AR	AD	
AFG3L2	AD	AD;AR	AD;AR
AFP	AD	AD;AR	AD;AR
AGA	AR	AR	AR
AGK	AR	AR	AD;AR
AGL	AR	AR	AR
AGPAT2	AR	AR	AR
AGPS	AR	AR	AR
AGRN	AR	AR	AD;AR
AGT	AR	AR;Multifactorial	AR
AGTR1	AR	AR;Multifactorial	AR
AGXT	AR	AR	AR
AHCY	AR	AR	AR
AHDC1	AD	AD	AD
AHI1	AR	AR	AD;AR
AICDA	AR	AR	AR
AIFM1	XLR	XLR	XL;XLR
AIMP1	AR	AR	AR
AIP	AD	AD,Somatic mutation	AD
AIPL1	AR	AR,AD	AD;AR
AIRE	ADAR	AR,AD	AD;AR
AK2	AR	AR	AR
AKAP9	AD	AD	AD;AR
AKR1C2	AR	AR	AR
AKR1D1	AR	AR	AR
AKT1	AD		AD;SOM
AKT2	AD	AD	AD
AKT3	AD	AD	AD;SOM
ALAD	AR	AR	AR
ALAS2	XLD	XL;XLR	XL
ALB	ADAR	AR;AR,AD	AR
ALDH18A1	ADAR	AD;AR	AD;AR;sD
ALDH1A3	AR	AR	AD;AR
ALDH3A2	AR	AR	AR
ALDH4A1	AR	AR	AR
ALDH5A1	AR	AR	AR
ALDH6A1	AR	AR	AR
ALDH7A1	AR	AR	AD;AR
ALDOA	AR	AR	AR
ALDOB	AR	AR	AR
ALG1	AR	AR	AR
ALG11	AR	AR	AR
ALG12	AR	AR	AR
ALG3	AR	AR	AR
ALG6	AR	AR	AR
ALG8	AR	AD;AR	AD;AR
ALG9	AR	AR	AD;AR
ALK	AD		AD
ALMS1	AR	AR	AR
ALOX12B	AR	AR	AR
ALOXE3	AR	AR	AR
aloxe3tv1	AR		
ALPI	AR		
ALPL	ADAR	AR;AR,AD	AD;AR
ALS2	AR	AR	AR
ALX1	AR	AR	AR
ALX3	AR	AR	AR
ALX4	AD	AD;AR	AD;AR
AMACR	AR	AR	AR
AMELX	XLD	XLD	AR;XL
AMELY	YL		
AMER1	XLD	XLD	XL
AMH	AR	AR	AR
AMHR2	AR	AR	AR
AMN	AR	AR;XLR	AR
AMPD1	AR	AR	AR
AMPD2	AR	AR	AR
AMPD3	AR	AR	AR
AMT	AR	AR	AR
ANG	AD		AD
ANGPTL3	AD	AR	AR
ANGPTL4	AD	AD	
ANK1	AD	AR,AD	AD;AR
ANK2	AD	AD	AD
ANKH	AD	AD	AD
ANKRD1	AD		AD
ANKRD11	AD	AD	AD
ankrd11tv1	AD		
ANKRD26	AD	AD	AD
ANO10	AR	AR	AR
ANO3	AD	AD	AD
ANO5	ADAR	AD;AR	AD;AR
ANO6	AR	AR	AR
ANOS1	XLR	XLR	AD;XL
ANTXR1	AR	AD;AR	AD;AR
ANTXR2	AR	AR	AR
AP1S2	XLR	XLR	XL;XLR
AP3B1	AR	AR	AR
AP4B1	AR	AR	AR
AP4E1	AR	AD;AR	AR
AP4M1	AR	AR	AR
AP4S1	AR	AR	AR
AP5Z1	AR	AR	AR
APAF1	AR		AD
APC	AD	AD	AD;AR
APOA1	AD	AD;AR	AD
APOA2	AR	AR,AD	AD
APOA5	AD	AD	AD
APOB	AD	AD;AR	AD;AR;sD
APOC2	AR	AR	AR;sD
APOE	AR	AD;AR	AD;AR
APP	AD	AD	AD
APRT	AR	AR	AR
APTX	AR	AR	AR
AQP2	AD	AR,AD	AD
AR	XLR	AD,Somatic mutation;XLR	XL
AREL1	AR		
ARFGEF2	AR	AR	AD;AR
ARG1	AR	AR	AR
ARHGAP29	AD		AD
ARHGEF10	AD	AD	AD
ARHGEF12	AD		
ARHGEF6	XLR		AD;XL;XLR
ARHGEF9	XLR	XL	XL
ARID1A	AD	AD	AD
ARID1B	AD	AD	AD
ARL13B	AR	AR	AR
ARL2BP	AR	AR	AD;AR
ARL6	AR	AR;AR,Digenic recessive	AD;AR
ARMC5	AD	AD,Somatic mutation	AD
ARMC9	AR	AR	AR
ARSA	AR	AR	AR
ARSB	AR	AR	AR
ARSL	XLR	XLR	XL;XLR
ARV1	AR	AR	AR
ARX	XLD	XL;XLR	AD;XL;XLR
ASAH1	AR	AR	AR
ASB10	AD	AD	
ASCL1	AD		AD
ASL	AR	AR	AR
ASMT	AD		
ASNS	AR	AR	AR
ASPA	AR	AR	AR
ASPM	AR	AR	AR
ASS1	AR	AR	AR
ASTN2	AR		AD
ASXL1	AD	AD	AD
ASXL3	AD	AD	AD
ATAD3A	AD	AR;AR,AD	AR;sD
ATCAY	AR	AR	AR
ATF6	AR	AR	AD;AR
