Probe	ADCADN	ATRX	AUTS18	BAFopathy	BFLS	CdLS	CHARGE	Control	Down	Dup7	EEOC	FLHS	GTPTS	HMA	HVDAS_C	HVDAS_T	ICF1	ICF2_3_4	Kabuki	KDVS	Kleefstra	MRD51	MRX93	MRX97	MRXSCJ	MRXSN	MRXSSR	RMNS	RSTS	SBBYSS	SETD1B	Sotos	TBRS	WDSTS	Williams
cg11195002	0.40586585	0.09497233	0.09524751	0.08452771	0.07883229	0.0805152	0.08961706	0.09122973	0.08640318	0.0939651	0.07393557	0.07674815	0.07022903	0.12097251	0.07756406	0.08994161	0.10571004	0.09007789	0.09325388	0.08021374	0.09319207	0.10794847	0.12609127	0.10000138	0.07552206	0.09167503	0.10250264	0.07781879	0.08787328	0.08322605	0.10751764	0.08323865	0.07977797	0.08627585	0.09958004
cg13948585	0.43257805	0.10701296	0.09241512	0.08052289	0.08941287	0.09525191	0.09140539	0.09178572	0.07741688	0.10204734	0.06803624	0.08329473	0.09105223	0.11714773	0.08911932	0.0917013	0.1154055	0.08471199	0.08851426	0.06746265	0.10623212	0.11826006	0.12889409	0.10973719	0.08257433	0.1143605	0.10800011	0.08065127	0.09737031	0.09546887	0.10559694	0.12008144	0.09478017	0.09302535	0.09018757
cg14319409	0.5666973	0.10867051	0.13442841	0.09670718	0.10420248	0.09529132	0.11404694	0.11302396	0.09926563	0.11884476	0.08245521	0.11829395	0.09852288	0.14102534	0.0921883	0.10226395	0.11408064	0.12019701	0.10318972	0.11084542	0.11960355	0.11683125	0.12982637	0.14986352	0.10192813	0.13050561	0.16107988	0.07776963	0.08922986	0.09088382	0.1476305	0.13476868	0.103705	0.09475432	0.14285559
cg06076323	0.41013094	0.0632664	0.05674026	0.04527476	0.05201401	0.04764952	0.05227902	0.05611909	0.04765074	0.06583587	0.0387307	0.04995236	0.03961611	0.08307616	0.04633282	0.04335889	0.07318188	0.06339215	0.05081303	0.03736578	0.06373107	0.07856218	0.08909894	0.06679399	0.05132019	0.06657119	0.06713685	0.04915735	0.04743416	0.04849237	0.06627375	0.07366514	0.05687147	0.0572876	0.06470035
cg05312077	0.40530068	0.12611635	0.10543819	0.1125465	0.10150246	0.09322026	0.14549281	0.12530851	0.10362264	0.12764739	0.09950474	0.11485815	0.09370292	0.14474033	0.09265453	0.09684352	0.12305826	0.14506967	0.10945731	0.08560087	0.11743276	0.1472117	0.14290237	0.13501494	0.11803667	0.0988695	0.11541994	0.09401528	0.09462691	0.10104613	0.14188958	0.14609696	0.11679141	0.1068322	0.16035679
cg12034383	0.42092853	0.08322142	0.06696571	0.0588406	0.06953523	0.05804731	0.06803979	0.0747906	0.07830577	0.0921945	0.05652818	0.07270706	0.04671979	0.07989672	0.05911201	0.05338309	0.08783035	0.08938121	0.0684045	0.0573669	0.06833457	0.10243504	0.10308834	0.08786435	0.06921577	0.10024907	0.08240754	0.06246492	0.06718899	0.06012814	0.08197058	0.09634589	0.06540058	0.07302251	0.08773777
cg07068674	0.46177311	0.14648809	0.13228587	0.10951641	0.12203631	0.11168548	0.11693403	0.13491659	0.12503505	0.1361021	0.100113	0.13425259	0.09422542	0.13565111	0.12441526	0.11015288	0.13672593	0.11272357	0.12007767	0.10420747	0.12279249	0.16049873	0.16553037	0.14997742	0.13378985	0.15736164	0.14263667	0.11782414	0.10694184	0.10560507	0.15913109	0.14276416	0.1164918	0.11695727	0.13865349
cg01181227	0.50157061	0.14577425	0.10062584	0.10879104	0.1190045	0.10520136	0.11111782	0.11583455	0.10196808	0.12444336	0.08725539	0.1202289	0.07459956	0.10127377	0.10038287	0.09597513	0.08374371	0.1145488	0.10342393	0.07843063	0.11252721	0.12499137	0.14638928	0.11191626	0.12188028	0.11852733	0.13615749	0.10226368	0.11165265	0.12302481	0.12373718	0.13080984	0.11586231	0.13876218	0.13712165
cg13278496	0.39126354	0.11188301	0.10335867	0.08898202	0.11106135	0.09138272	0.09597185	0.10141389	0.09765903	0.10361237	0.07566787	0.09535743	0.07041712	0.11121985	0.09588495	0.09220701	0.10044348	0.09077338	0.09005071	0.08045531	0.10307927	0.12184952	0.13600422	0.10993644	0.09887761	0.0991356	0.11114275	0.08980463	0.08565404	0.08763996	0.12055329	0.1032918	0.09139865	0.09111737	0.10462637
cg13655674	0.4038193	0.0990232	0.08087481	0.07956956	0.08551001	0.0746554	0.09229283	0.09423048	0.0923419	0.09491888	0.06108766	0.0982809	0.07425252	0.09681843	0.08411797	0.0796954	0.10473297	0.10485986	0.08379422	0.07401024	0.08925126	0.12143612	0.12282982	0.10354461	0.09201916	0.09927262	0.09831704	0.07998914	0.07028568	0.07519549	0.10569288	0.10530004	0.08205335	0.07810178	0.09478167
cg05476568	0.37669833	0.08803955	0.07649812	0.06817594	0.07369342	0.06421038	0.0715666	0.08139569	0.07945906	0.08479245	0.06345399	0.07173992	0.04726794	0.08806569	0.06473431	0.06536399	0.08470452	0.09726224	0.06754152	0.05096393	0.08046549	0.10754701	0.10962489	0.09627485	0.08173398	0.07950733	0.08194833	0.05397957	0.0681376	0.06635282	0.09804081	0.0881047	0.07190764	0.07219036	0.08146114
